prolificPID,recID,questionNumber,response,created_at
6120b4fca2fedeb88787374c,3,1,false,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,3,2,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,3,3,1,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,3,4,3,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,3,5,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,4,1,true,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,4,2,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,4,3,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,4,4,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,4,5,2,2023-06-08T12:28:31Z
6120b4fca2fedeb88787374c,5,1,false,2023-06-08T12:28:32Z
6120b4fca2fedeb88787374c,5,2,2,2023-06-08T12:28:32Z
6120b4fca2fedeb88787374c,5,3,2,2023-06-08T12:28:32Z
6120b4fca2fedeb88787374c,5,4,2,2023-06-08T12:28:32Z
6120b4fca2fedeb88787374c,5,5,1,2023-06-08T12:28:32Z
60dc9556508486e19fc42546,0,1,true,2023-06-08T12:31:18Z
60dc9556508486e19fc42546,0,2,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,0,3,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,0,4,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,0,5,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,1,1,true,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,1,2,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,1,3,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,1,4,3,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,1,5,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,2,1,true,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,2,2,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,2,3,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,2,4,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,2,5,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,3,1,false,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,3,2,3,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,3,3,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,3,4,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,3,5,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,4,1,true,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,4,2,2,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,4,3,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,4,4,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,4,5,4,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,5,1,false,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,5,2,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,5,3,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,5,4,5,2023-06-08T12:31:24Z
60dc9556508486e19fc42546,5,5,5,2023-06-08T12:31:24Z
6139d11e12004b36e50206d1,0,1,true,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,0,2,4,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,0,3,4,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,0,4,4,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,0,5,4,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,1,1,true,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,1,2,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,1,3,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,1,4,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,1,5,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,2,1,false,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,2,2,3,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,2,3,4,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,2,4,2,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,2,5,2,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,3,1,true,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,3,2,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,3,3,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,3,4,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,3,5,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,4,1,true,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,4,2,2,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,4,3,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,4,4,5,2023-06-08T12:33:56Z
6139d11e12004b36e50206d1,4,5,2,2023-06-08T12:33:56Z
